name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,WithinTop3 (Precision),SequenceMatch
12_DrawLine_result,8,0,0,0.03,4.19611490629655,10,0.14,0,100,0.86,,100,0.86
12_DrawLine_result,1,16.9273189705466,50,0.41,,,,,,,,50,0.41
12_DrawLine_result,11,6.83242271959996,22.2222222222222,0.44,4.11298234998328,40,0.47,6.42990914611491,28.5714285714286,0.4,,40,0.47
12_DrawLine_result,7,4.61921510513055,38.4615384615385,0.26,3.65314715279952,75,0.19,39.4588125559177,72.7272727272727,0.66,,75,0.66
12_DrawLine_result,2,3.65701591341438,31.25,0.15,0,0,0.26,,,,,31.25,0.26
12_DrawLine_result,2,100,100,0.86,100,100,0.86,,,,,100,0.86
12_DrawLine_result,8,0,0,0.05,0,0,0.14,0,0,0.05,,0,0.14
12_DrawLine_result,1,68.037493331712,75,0.86,,,,,,,,75,0.86
12_DrawLine_result,8,0,0,0.4,0,0,0.32,6.5672747360604,14.2857142857143,0.32,,14.2857142857143,0.4
12_DrawLine_result,1,18.9958921412898,50,0.6,,,,,,,,50,0.6
12_DrawLine_result,8,3.38649856834454,8.33333333333333,0.18,3.38649856834454,8.33333333333333,0.18,0,0,0.4,,8.33333333333333,0.4
12_DrawLine_result,1,0,66.6666666666667,0.83,,,,,,,,66.6666666666667,0.83
12_DrawLine_result,8,3.38649856834454,8.33333333333333,0.18,3.38649856834454,8.33333333333333,0.18,3.38649856834454,8.33333333333333,0.18,,8.33333333333333,0.18
12_DrawLine_result,1,0,100,0.67,,,,,,,,100,0.67
12_DrawLine_result,1,8.23503308270137,13.1147540983607,0.19,,,,,,,,13.1147540983607,0.19
12_DrawLine_result,11,4.44458779458587,42.8571428571429,0.56,17.8275310427963,66.6666666666667,0.71,6.42990914611491,28.5714285714286,0.43,,66.6666666666667,0.71
12_DrawLine_result,7,0,0,0.28,5.36948856751793,40,0.22,3.65314715279952,75,0.18,,75,0.28
12_DrawLine_result,2,5.60423337548057,45.4545454545455,0.46,7.47487588749534,42.8571428571429,0.64,,,,,45.4545454545455,0.64
12_DrawLine_result,2,17.164726199226,77.7777777777778,0.51,7.12938488226037,55.5555555555556,0.57,,,,,77.7777777777778,0.57
12_DrawLine_result,8,0,0,0.14,0,0,0.14,0,0,0.14,,0,0.14
12_DrawLine_result,1,53.7284965911771,83.3333333333333,0.67,,,,,,,,83.3333333333333,0.67
12_DrawLine_result,8,0,0,0.33,0,0,0.5,0,0,0.3,,0,0.5
12_DrawLine_result,1,35.9304111963084,66.6666666666667,0.8,,,,,,,,66.6666666666667,0.8
12_DrawLine_result,8,0,33.3333333333333,0.55,15.9735776061568,25,0.5,0,0,0.35,,33.3333333333333,0.55
12_DrawLine_result,1,31.9471552123136,50,0.57,,,,,,,,50,0.57
12_DrawLine_result,8,3.38649856834454,8.33333333333333,0.13,3.38649856834454,8.33333333333333,0.14,2.83983872256779,7.14285714285714,0.13,,8.33333333333333,0.14
12_DrawLine_result,1,0,100,0.67,,,,,,,,100,0.67
01_HelloWorld_result,11,0.574978592501612,1.58730158730159,0.11,0.873304242853479,2.38095238095238,0.06,1.34941169475663,8.33333333333333,0.11,,8.33333333333333,0.11
01_HelloWorld_result,7,13.5403724573157,57.1428571428571,0.6,5.81586817441582,16.6666666666667,0.3,41.7226144861151,72.7272727272727,0.75,,72.7272727272727,0.75
01_HelloWorld_result,2,28.9978441471521,63.6363636363636,0.74,13.1345494721208,50,0.62,,,,,63.6363636363636,0.74
01_HelloWorld_result,2,19.3048697548045,66.6666666666667,0.79,7.26788421210274,37.5,0.44,,,,,66.6666666666667,0.79
01_HelloWorld_result,8,0,0,0.14,0,0,0.15,4.19611490629655,10,0.43,,10,0.43
01_HelloWorld_result,1,0,33.3333333333333,0.4,,,,,,,,33.3333333333333,0.4
21_Array_result,11,1.09520836043083,6.81818181818182,0.05,1.1348017612063,8.33333333333333,0.21,1.29924939892575,10,0.2,,10,0.21
21_Array_result,1,0.755864242884943,50,0.31,,,,,,,,50,0.31
21_Array_result,1,1.55777928063939,72.7272727272727,0.46,,,,,,,,72.7272727272727,0.46
21_Array_result,7,15.9735776061568,25,0.36,8.11669788687748,16.6666666666667,0.24,5.52239778353947,12.5,0.15,,25,0.36
21_Array_result,1,0,66.6666666666667,0.2,,,,,,,,66.6666666666667,0.2
21_Array_result,7,0,0,0.12,0,0,0.12,0,0,0.07,,0,0.12
21_Array_result,1,7.90723053510237,55,0.41,,,,,,,,55,0.41
21_Array_result,10,0.969065067185661,20,0.16,5.09121282309775,26.3157894736842,0.38,2.37178588786744,14.0350877192982,0.24,,26.3157894736842,0.38
21_Array_result,7,5.1091446900971,62.5,0.29,13.8732710452717,61.5384615384615,0.37,2.86299936576689,21.0526315789474,0.27,,62.5,0.37
21_Array_result,2,12.5122369211619,41.1764705882353,0.28,9.20831157405752,50,0.33,,,,,50,0.33
21_Array_result,2,0,100,0.06,1.31119109582012,25,0.2,,,,,100,0.2
21_Array_result,8,3.37715641433785,14.2857142857143,0.08,0,0,0.04,3.67352656298894,15.3846153846154,0.09,,15.3846153846154,0.09
21_Array_result,2,8.3922298125931,20,0.25,0,33.3333333333333,0.22,,,,,33.3333333333333,0.25
21_Array_result,8,2.44559393724036,6.25,0.08,4.7677070204571,11.1111111111111,0.14,1.57329348111453,4.16666666666667,0.05,,11.1111111111111,0.14
21_Array_result,2,5.3001566897563,36.3636363636364,0.36,4.45688276069906,25,0.19,,,,,36.3636363636364,0.36
21_Array_result,8,12.2230755608725,37.5,0.22,5.81663542114751,20,0.28,0,0,0.2,,37.5,0.28
21_Array_result,1,15.9735776061568,25,0.44,,,,,,,,25,0.44
21_Array_result,1,3.37715641433785,14.2857142857143,0.34,,,,,,,,14.2857142857143,0.34
21_Array_result,10,6.5672747360604,14.2857142857143,0.22,4.99004970193683,20,0.19,0,0,0.12,,20,0.22
21_Array_result,7,0,0,0.16,0,0,0.2,0,0,0.2,,0,0.2
21_Array_result,8,1.38781927786159,3.7037037037037,0.05,0.777275155885321,2.12765957446808,0.03,0,0,0.05,,3.7037037037037,0.05
21_Array_result,2,6.5672747360604,14.2857142857143,0.09,6.5672747360604,14.2857142857143,0.09,,,,,14.2857142857143,0.09
21_Array_result,1,8.11669788687748,16.6666666666667,0.26,,,,,,,,16.6666666666667,0.26
